Date,Linke,AfD,CDU,SPD,Grüne,FDP,Others
11 Dec 2022,27.0,30.0,15.0,10.0,5.0,6.0,7.0
8 Nov 2022,23.0,25.0,21.0,11.0,7.0,5.0,8.0
31 Oct 2022,24.0,28.0,17.5,12.0,6.0,6.0,6.5
15 Sep 2022,23.0,26.0,20.0,11.0,8.0,5.0,7.0
6 Sep 2022,22.0,28.0,20.5,11.0,5.5,5.0,8.0
2 Aug 2022,22.0,25.0,22.0,11.0,7.0,5.0,8.0
11 Jul 2022,24.0,24.0,20.0,13.0,8.0,5.0,6.0
15 Jun 2022,24.0,26.0,16.0,14.0,7.0,5.0,8.0
30 May 2022,24.0,23.0,18.0,16.0,7.0,4.0,8.0
14 Apr 2022,20.0,21.0,19.0,20.0,5.0,8.0,7.0
11 Apr 2022,24.0,22.0,20.0,16.0,7.0,5.0,6.0
1 Mar 2022,25.0,23.0,19.0,16.0,6.0,6.0,5.0
22 Feb 2022,23.0,24.0,19.0,15.0,5.0,7.0,7.0
30 Nov 2021,24.0,23.0,15.0,18.0,7.0,7.0,6.0
4 Oct 2021,20.0,24.0,15.0,21.0,7.0,8.0,5.0
23 Jul 2021,27.0,22.0,21.0,11.0,6.0,6.0,7.0
15 Jul 2021,27.0,22.0,21.0,9.0,7.0,8.0,6.0
24 Jun 2021,28.0,22.0,21.0,10.5,6.5,7.0,5.0
14 Jun 2021,26.0,23.0,22.0,9.0,6.0,7.0,7.0
18 May 2021,26.0,23.0,16.0,10.5,10.5,8.0,6.0
16 Mar 2021,30.0,23.0,19.0,9.0,8.0,6.0,5.0
1 Mar 2021,29.0,23.0,22.0,10.0,5.0,6.0,6.0
2 Feb 2021,31.0,23.0,22.0,7.0,8.0,6.0,3.0
31 Jan 2021,29.0,22.5,25.0,10.0,6.0,5.0,2.5
17 Nov 2020,33.5,22.5,24.0,8.0,5.0,3.5,3.5
5 Nov 2020,33.0,22.0,22.0,9.0,6.0,5.0,3.0
12 Oct 2020,33.0,22.0,22.0,8.0,7.0,4.0,4.0
2 Sep 2020,33.0,22.0,22.0,9.0,5.0,4.0,5.0
18 Aug 2020,34.0,20.5,20.0,10.0,5.5,5.0,5.0
4 Aug 2020,32.0,20.0,24.0,10.0,6.0,4.0,4.0
22 Jun 2020,35.5,21.0,19.0,8.0,6.0,6.0,4.5
22 Jun 2020,35.0,22.0,22.0,8.0,6.0,3.0,3.0
19 May 2020,34.0,22.0,21.0,8.0,7.0,5.0,3.0
10 May 2020,35.0,25.0,17.5,8.0,3.5,8.0,3.0
19 Apr 2020,34.0,26.0,20.5,8.0,4.0,4.0,3.5
31 Mar 2020,37.0,23.0,18.0,7.0,7.0,4.0,4.0
9 Mar 2020,38.0,25.0,15.0,8.0,6.0,4.0,4.0
13 Feb 2020,41.0,25.5,10.0,10.5,5.0,4.0,4.0
13 Feb 2020,40.0,25.0,14.0,7.0,6.0,4.0,4.0
10 Feb 2020,39.0,24.0,13.0,10.0,5.0,4.0,5.0
6 Feb 2020,37.0,24.0,12.0,9.0,7.0,4.0,7.0
6 Feb 2020,34.0,23.0,19.0,6.0,6.0,7.0,5.0
25 Jan 2020,32.0,24.0,19.0,8.0,6.0,6.0,5.0
